ID,Name,NOC,Year,Season,Sport,Event,Medal
1025,Attila Adrovicz,HUN,1996,Summer,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
1046,Klaus Aeffke,GER,1964,Summer,Rowing,Rowing Men's Coxed Eights,Silver
1071,Kseniya Dmitriyevna Afanasyeva,RUS,2012,Summer,Gymnastics,Gymnastics Women's Team All-Around,Silver
1085,Maksim Sergeyevich Afinogenov,RUS,2002,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
1088,"Olabisi ""Bisi"" Afolabi",NGR,1996,Summer,Athletics,Athletics Women's 4 x 400 metres Relay,Silver
1094,Felicia Afrsiloaie (-Jitianu),ROU,1976,Summer,Rowing,Rowing Women's Coxed Quadruple Sculls,Bronze
1095,Cecil Sebastian Afrika,RSA,2016,Summer,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Bronze
1104,Muhammad Afzal Manna,PAK,1964,Summer,Hockey,Hockey Men's Hockey,Silver
1107,"Timothy Ernest Victor Kwizera ""Tim"" Agaba",RSA,2016,Summer,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Bronze
1109,Lavinia Agache (-Carney),ROU,1984,Summer,Gymnastics,Gymnastics Women's Team All-Around,Gold
1109,Lavinia Agache (-Carney),ROU,1984,Summer,Gymnastics,Gymnastics Women's Horse Vault,Bronze
1114,Luca Agamennoni,ITA,2004,Summer,Rowing,Rowing Men's Coxless Fours,Bronze
1114,Luca Agamennoni,ITA,2008,Summer,Rowing,Rowing Men's Quadruple Sculls,Silver
1122,Andre Kirk Agassi,USA,1996,Summer,Tennis,Tennis Men's Singles,Gold
1131,Clarisse Agbegnenou,FRA,2016,Summer,Judo,Judo Women's Half-Middleweight,Silver
1144,Henrik Agersborg,NOR,1920,Summer,Sailing,Sailing Mixed 6 metres,Bronze
1147,Viktor Ivanovich Ageyev,URS,1956,Summer,Water Polo,Water Polo Men's Water Polo,Bronze
1147,Viktor Ivanovich Ageyev,URS,1960,Summer,Water Polo,Water Polo Men's Water Polo,Silver
1147,Viktor Ivanovich Ageyev,URS,1964,Summer,Water Polo,Water Polo Men's Water Polo,Bronze
1169,Marilyn Agliotti,NED,2008,Summer,Hockey,Hockey Women's Hockey,Gold
1169,Marilyn Agliotti,NED,2012,Summer,Hockey,Hockey Women's Hockey,Gold
1173,Yannick Agnel,FRA,2012,Summer,Swimming,Swimming Men's 200 metres Freestyle,Gold
1173,Yannick Agnel,FRA,2012,Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
